Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,status
97.5125,35.8125,64.5125,-68.8875,-83.0875,24.0125,38.4125,48.0125,43.3125,14.2125,-11.3875,72.2125,115.8125,-4.3875,-149.0875,-236.9875,1
96.5625,33.3625,67.4625,-68.4375,-79.9375,20.3625,34.4625,45.2625,45.7625,8.4625,-10.6375,70.5625,117.2625,-0.1375,-144.6375,-235.7375,1
97.49375,30.79375,70.49375,-68.20625,-85.70625,20.39375,43.59375,46.69375,45.89375,12.39375,-10.70625,69.89375,110.89375,-4.80625,-142.80625,-236.30625,1
101.275,29.775,72.375,-68.425,-96.225,19.975,42.175,47.075,47.075,14.375,-10.625,70.775,108.975,-3.025,-143.225,-232.325,1
107.3875,31.2875,75.1875,-66.9125,-118.2125,21.2875,37.9875,46.4875,49.1875,15.3875,-8.3125,72.0875,104.8875,4.4875,-141.6125,-230.6125,1
110.64375,29.14375,75.34375,-69.35625,-107.25625,18.34375,33.54375,44.04375,49.24375,15.44375,-8.45625,70.64375,106.74375,4.94375,-142.25625,-230.75625,1
116.24375,29.94375,77.34375,-68.85625,-112.15625,16.14375,36.14375,46.34375,49.24375,10.34375,-7.45625,69.34375,98.44375,7.44375,-139.55625,-228.95625,1
117.8125,32.0125,77.1125,-69.0875,-112.6875,12.3125,33.3125,45.7125,45.3125,10.8125,-8.9875,69.1125,108.2125,10.8125,-140.9875,-230.7875,1
118.06875,27.36875,74.26875,-71.43125,-99.53125,13.16875,38.16875,42.06875,44.66875,8.96875,-10.13125,65.96875,111.56875,12.06875,-139.43125,-235.83125,1
118.09375,25.59375,74.19375,-69.40625,-94.00625,20.19375,40.69375,43.59375,44.89375,5.09375,-10.80625,63.99375,111.19375,3.29375,-139.70625,-236.90625,1
122.40625,28.60625,77.60625,-66.69375,-114.49375,13.70625,43.60625,46.20625,45.10625,3.60625,-9.29375,64.90625,116.20625,3.60625,-138.39375,-236.69375,1
123.1625,34.1625,78.1625,-62.5375,-116.3375,19.2625,43.6625,47.5625,45.4625,6.3625,-9.6375,67.9625,85.4625,8.0625,-138.5375,-232.2375,1
120.3,37.6,74.9,-60.2,-117.9,23.1,42.8,49.0,42.7,8.0,-12.9,69.8,87.3,8.4,-145.2,-227.7,1
119.09375,35.79375,71.59375,-61.40625,-128.00625,17.99375,42.19375,47.09375,44.19375,4.89375,-13.30625,66.49375,110.99375,18.49375,-141.90625,-234.20625,1
115.36875,35.06875,69.86875,-61.53125,-95.13125,21.26875,30.76875,43.66875,44.46875,1.86875,-14.63125,65.06875,100.06875,18.06875,-140.73125,-233.53125,1
115.425,38.325,69.325,-58.075,-118.875,25.425,35.225,45.925,45.925,1.225,-13.675,67.325,99.725,18.825,-143.075,-228.975,1
114.65625,40.65625,64.85625,-57.24375,-117.94375,27.85625,33.65625,45.55625,44.75625,1.75625,-13.64375,67.25625,106.15625,20.25625,-145.24375,-233.34375,1
113.14375,43.74375,61.34375,-56.45625,-118.35625,29.94375,32.94375,45.14375,44.64375,-1.65625,-12.85625,69.64375,97.44375,24.74375,-144.15625,-229.25625,1
112.39375,47.99375,62.69375,-54.10625,-134.90625,35.79375,27.29375,46.99375,42.49375,-7.70625,-12.60625,73.99375,90.19375,34.49375,-143.80625,-221.20625,1
107.8875,47.1875,60.6875,-56.1125,-137.6125,38.9875,26.0875,46.2875,43.0875,-2.2125,-14.3125,76.1875,92.6875,35.8875,-145.1125,-219.6125,1
106.0875,46.5875,59.5875,-58.4125,-149.9125,31.0875,35.1875,47.4875,48.5875,11.9875,-11.5125,79.7875,94.3875,25.1875,-142.7125,-223.4125,1
102.8625,48.2625,56.7625,-59.2375,-137.1375,29.6625,29.9625,45.6625,49.5625,25.3625,-11.8375,84.0625,86.4625,18.3625,-147.1375,-221.6375,1
102.0625,53.9625,56.7625,-55.2375,-135.3375,33.2625,29.0625,45.5625,48.1625,7.4625,-11.5375,84.5625,86.6625,25.8625,-146.2375,-225.0375,1
98.74375,47.14375,57.34375,-59.75625,-127.25625,31.24375,34.04375,47.14375,48.94375,8.04375,-13.05625,82.04375,94.94375,20.14375,-144.35625,-225.35625,1
96.4,45.6,56.5,-59.4,-131.5,30.1,32.7,49.5,53.6,17.2,-12.6,83.2,93.0,14.9,-142.1,-227.1,1
95.4,50.0,58.4,-54.9,-133.1,32.5,33.0,50.8,54.9,23.7,-12.4,85.8,68.3,20.8,-143.2,-230.0,1
94.55625,50.75625,57.15625,-53.44375,-134.44375,33.95625,31.15625,50.25625,52.05625,18.15625,-14.84375,84.95625,80.05625,24.85625,-145.94375,-229.24375,1
